range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
29561, 2, 14787.5, 20902.8, 2, 5764, 7437.35, 2270, 850, 940
42942, 2, 14787.5, 20902.8, 2, 21726.5, 30013.1, 2200, 840, 930
56639, 2, 14787.5, 20902.8, 2, 28348.5, 40018.7, 2240, 830, 940
29561, 2, 14787.5, 20902.8, 2, 9225.5, 12981.8, 2220, 860, 940
65521, 2, 14787.5, 20902.8, 58, 11433.4, 20328.5, 2399, 3360, 950
55177, 2, 14787.5, 20902.8, 12, 15224.9, 19409.6, 2410, 1620, 1020
29561, 2, 14787.5, 20902.8, 6, 11455.7, 12981.6, 2329, 1410, 980
47322, 2, 14787.5, 20902.8, 4, 17728.5, 22310.9, 2310, 1330, 980
59912, 2, 14787.5, 20902.8, 2, 30076, 42204.4, 2240, 850, 910
29561, 2, 14787.5, 20902.8, 12, 4284.08, 7633.48, 2280, 1710, 1030
45631, 2, 14787.5, 20902.8, 2, 23070.5, 31915.3, 2260, 850, 890
29561, 2, 14787.5, 20902.8, 2, 11169, 15091.1, 2230, 850, 940
64792, 2, 14787.5, 20902.8, 4, 19400.5, 30742, 2280, 1360, 900
50510, 2, 14787.5, 20902.8, 2, 25283, 35686.3, 2140, 860, 1000
39457, 2, 14787.5, 20902.8, 14, 15793.9, 16792.2, 2290, 1750, 950
58030, 2, 14787.5, 20902.8, 12, 10727.4, 16555.2, 2370, 1690, 1010
35946, 2, 14787.5, 20902.8, 2, 18002, 25386.5, 2060, 880, 940
65031, 2, 14787.5, 20902.8, 152, 16837.6, 21376.7, 2539, 6580, 960
64252, 2, 14787.5, 20902.8, 44, 19488.9, 21954, 2540, 2700, 960
61611, 2, 14787.5, 20902.8, 4, 21605.8, 28896.5, 2320, 1340, 950
52273, 2, 14787.5, 20902.8, 2, 26162.5, 36935.7, 2240, 840, 940
37317, 2, 14787.5, 20902.8, 6, 17975.8, 19254.2, 2360, 1420, 960
37648, 2, 14787.5, 20902.8, 6, 16708.5, 18844.5, 2360, 1390, 970
29561, 2, 14787.5, 20902.8, 2, 13076.5, 17785.9, 2060, 860, 980
60478, 2, 14787.5, 20902.8, 2, 30265, 42737.5, 2030, 880, 940
29561, 2, 14787.5, 20902.8, 2, 11492, 16051.3, 2189, 850, 940
47263, 2, 14787.5, 20902.8, 2, 23885.5, 33070.7, 2210, 830, 940
52526, 2, 14787.5, 20902.8, 6, 22924.2, 25330.5, 2320, 1380, 950
