range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
65535, 197564, 16629.1, 21001.3, 72576, 16659.4, 21079.5, 133159, 60779, 1223718
65534, 197564, 16629.1, 21001.3, 8272, 16788.4, 21049, 131539, 22860, 234817
65535, 197564, 16629.1, 21001.3, 171933, 16608.6, 21039.3, 142408, 119609, 2977649
65534, 197564, 16629.1, 21001.3, 58408, 16806.7, 21133.7, 139279, 73389, 1024299
65534, 197564, 16629.1, 21001.3, 29803, 16721.3, 21094.2, 138008, 36020, 568484
65535, 197564, 16629.1, 21001.3, 862911, 16726.2, 21100.6, 168558, 489325, 8484792
65534, 197564, 16629.1, 21001.3, 88039, 16640.4, 21065.3, 139759, 74979, 2355426
65534, 197564, 16629.1, 21001.3, 108817, 16634.7, 20972.8, 145619, 98449, 1554643
65535, 197564, 16629.1, 21001.3, 41139, 16795.6, 21115.6, 134688, 46670, 766882
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 146889, 1063209, 9625680
65534, 197564, 16629.1, 21001.3, 29803, 16721.3, 21094.2, 139278, 36630, 601054
65534, 197564, 16629.1, 21001.3, 25578, 16662.7, 21009.7, 134879, 31759, 480695
65535, 197564, 16629.1, 21001.3, 38884, 16590.7, 20989.4, 140908, 41900, 716092
65534, 197564, 16629.1, 21001.3, 196, 16946.3, 21069.8, 154178, 48780, 105569
65534, 197564, 16629.1, 21001.3, 180, 19640.6, 22776.7, 107789, 50810, 109108
65534, 197564, 16629.1, 21001.3, 7280, 16167.7, 20900.9, 130969, 15079, 227598
65535, 197564, 16629.1, 21001.3, 499585, 16626.2, 21049.8, 143958, 323147, 9464631
65534, 197564, 16629.1, 21001.3, 444, 16682.3, 21069.3, 128969, 10280, 112649
65534, 197564, 16629.1, 21001.3, 413, 15984.2, 20559.2, 117789, 8780, 113059
65534, 197564, 16629.1, 21001.3, 5310, 17053.8, 21115.9, 132259, 14650, 229597
65534, 197564, 16629.1, 21001.3, 16014, 16133.7, 20629.2, 133068, 27870, 352136
65534, 197564, 16629.1, 21001.3, 6982, 16532.3, 21109.1, 134338, 17930, 229788
65534, 197564, 16629.1, 21001.3, 7964, 17171.7, 20027.5, 134129, 26490, 244267
65535, 197564, 16629.1, 21001.3, 131331, 16661.7, 21053.2, 140188, 97329, 2611523
65534, 197564, 16629.1, 21001.3, 73888, 16762, 21264.8, 135078, 49880, 1936019
