range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65534, 197564, 16629.1, 21001.3, 25578, 16662.7, 21009.7, 160488, 616344, 504925, 204448
65535, 197564, 16629.1, 21001.3, 38884, 16590.7, 20989.4, 210668, 904261, 715763, 462405
65534, 197564, 16629.1, 21001.3, 196, 16946.3, 21069.8, 97609, 6720, 106619, 43850
65534, 197564, 16629.1, 21001.3, 180, 19640.6, 22776.7, 71569, 10400, 109779, 48240
65534, 197564, 16629.1, 21001.3, 7280, 16167.7, 20900.9, 118709, 135779, 215978, 88839
65535, 197564, 16629.1, 21001.3, 499585, 16626.2, 21049.8, 864531, 1196847, 9468302, 3258916
65534, 197564, 16629.1, 21001.3, 444, 16682.3, 21069.3, 109419, 8600, 111939, 49719
65534, 197564, 16629.1, 21001.3, 413, 15984.2, 20559.2, 106579, 11120, 112559, 25650
65534, 197564, 16629.1, 21001.3, 5310, 17053.8, 21115.9, 145958, 69829, 188598, 77669
65534, 197564, 16629.1, 21001.3, 16014, 16133.7, 20629.2, 133969, 396625, 308307, 310047
65534, 197564, 16629.1, 21001.3, 6982, 16532.3, 21109.1, 116618, 196908, 214458, 87639
65534, 197564, 16629.1, 21001.3, 7964, 17171.7, 20027.5, 160828, 127389, 247127, 108959
65535, 197564, 16629.1, 21001.3, 131331, 16661.7, 21053.2, 358927, 1487564, 2508184, 1015220
65534, 197564, 16629.1, 21001.3, 73888, 16762, 21264.8, 220218, 425575, 1953350, 653793
65534, 197564, 16629.1, 21001.3, 1808, 16738.9, 20964.3, 110399, 22289, 140989, 57039
65534, 197564, 16629.1, 21001.3, 147, 16844.6, 20629.8, 58559, 2460, 105899, 65649
65534, 197564, 16629.1, 21001.3, 50, 16025.7, 20311, 87079, 5250, 107959, 47079
65534, 197564, 16629.1, 21001.3, 47373, 16777.6, 21172.9, 179768, 262087, 2669202, 342657
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 1851931, 1279837, 9533081, 8884367
65534, 197564, 16629.1, 21001.3, 12983, 16316.4, 20978.8, 168028, 248858, 308057, 123278
65534, 197564, 16629.1, 21001.3, 3622, 17637.5, 22304.5, 117989, 51029, 161728, 236558
65535, 197564, 16629.1, 21001.3, 136093, 16558.2, 21040.3, 342057, 861031, 4934199, 1060939
65534, 197564, 16629.1, 21001.3, 6292, 12727.8, 12736, 48669, 108789, 166858, 57490
65534, 197564, 16629.1, 21001.3, 258, 16479.7, 21051.5, 92619, 10260, 110209, 47230
65534, 197564, 16629.1, 21001.3, 46454, 16625.6, 21090.5, 181198, 964780, 828692, 508435
65534, 197564, 16629.1, 21001.3, 36587, 16791.1, 21268, 797072, 176159, 2636522, 268357
65534, 197564, 16629.1, 21001.3, 15771, 16485.1, 20844.7, 141308, 406046, 326837, 152938
65534, 197564, 16629.1, 21001.3, 4, 18412.8, 29049.3, 129378, 1270, 99299, 141939
65534, 197564, 16629.1, 21001.3, 428, 17726.3, 21761.8, 107539, 11400, 111899, 50139
65534, 197564, 16629.1, 21001.3, 278, 16457.8, 20762.6, 89379, 13260, 122048, 47820
65534, 197564, 16629.1, 21001.3, 51320, 16586.9, 21018.5, 206968, 1140718, 910411, 521584
65535, 197564, 16629.1, 21001.3, 203042, 16553.7, 21025.7, 441285, 1390896, 5334074, 2059699
65534, 197564, 16629.1, 21001.3, 103115, 16633.6, 21010.5, 305167, 2176837, 1720622, 674293
65534, 197564, 16629.1, 21001.3, 108817, 16634.7, 20972.8, 323866, 2282737, 1624013, 711582
65535, 197564, 16629.1, 21001.3, 81094, 16647.5, 20996, 265017, 572034, 2286706, 1309197
65535, 197564, 16629.1, 21001.3, 50107, 16606.1, 21016.9, 223828, 1120068, 896081, 346186
65534, 197564, 16629.1, 21001.3, 167, 16219, 20646, 106688, 8490, 106719, 142169
65534, 197564, 16629.1, 21001.3, 687, 16702, 21160.9, 100979, 8160, 128859, 37119
65534, 197564, 16629.1, 21001.3, 21962, 16723.7, 21049.4, 154378, 184288, 878251, 343327
65535, 197564, 16629.1, 21001.3, 186314, 16654.8, 21062.5, 440406, 637533, 4000778, 1349676
65534, 197564, 16629.1, 21001.3, 20182, 16794.2, 21204.8, 148478, 144579, 440185, 171788
65535, 197564, 16629.1, 21001.3, 188809, 16531.8, 20963, 417575, 3636583, 2925649, 1186778
65534, 197564, 16629.1, 21001.3, 1625, 14074.9, 19068.3, 85859, 45900, 131698, 70640
65535, 197564, 16629.1, 21001.3, 186314, 16654.8, 21062.5, 439136, 637883, 3986149, 1342436
65534, 197564, 16629.1, 21001.3, 423, 16506.3, 21047.6, 118219, 7740, 111948, 47060
65534, 197564, 16629.1, 21001.3, 73, 16169.6, 20417.9, 95019, 3900, 103409, 108929
65534, 197564, 16629.1, 21001.3, 65746, 16751.1, 21147.2, 243277, 576694, 1845121, 615304
65534, 197564, 16629.1, 21001.3, 9934, 13028, 13054.1, 64369, 171399, 201128, 80349
65534, 197564, 16629.1, 21001.3, 54, 19898.8, 22299.8, 130509, 3480, 105199, 59229
65535, 197564, 16629.1, 21001.3, 150357, 16647.3, 21041.9, 383906, 1152768, 4389394, 1131718
65535, 197564, 16629.1, 21001.3, 46372, 16640.6, 21115.4, 198478, 219287, 1666353, 506405
65535, 197564, 16629.1, 21001.3, 348832, 16618.9, 21077.4, 601424, 1772162, 7329763, 2319566
65534, 197564, 16629.1, 21001.3, 3622, 17637.5, 22304.5, 107549, 51290, 161508, 237207
65535, 197564, 16629.1, 21001.3, 530445, 16886.4, 21253.8, 355586, 291007, 8382783, 3430064
65534, 13256, 16425.4, 20910.7, 197564, 16629.1, 21001.3, 111979, 131169, 350556, 291907
65529, 13256, 16425.4, 20910.7, 13256, 16425.4, 20910.7, 658603, 643563, 398886, 105869
65529, 13256, 16425.4, 20910.7, 251, 16618.1, 21151.1, 7860, 2790, 11110, 5310
65529, 13256, 16425.4, 20910.7, 423, 16452.1, 21014.8, 9519, 5740, 13310, 5370
65529, 13256, 16425.4, 20910.7, 5310, 17053.8, 21115.9, 20419, 33760, 191788, 72149
65529, 13256, 16425.4, 20910.7, 1561, 17449, 21502.8, 13430, 10820, 30979, 12990
65529, 13256, 16425.4, 20910.7, 7747, 16634.6, 21170.1, 26230, 25360, 244378, 49729
65529, 13256, 16425.4, 20910.7, 3428, 16929.1, 21398.3, 18119, 17500, 166169, 86090
65529, 13256, 16425.4, 20910.7, 2139, 15643.7, 20574.5, 12640, 49460, 41019, 17320
65535, 13256, 16425.4, 20910.7, 255502, 16705, 21163.2, 103048, 144439, 308757, 228847
65529, 13256, 16425.4, 20910.7, 389, 16721.8, 21048.1, 9430, 5240, 13899, 5230
65529, 13256, 16425.4, 20910.7, 1665, 16242.8, 20699.8, 13260, 10810, 29259, 12720
65531, 13256, 16425.4, 20910.7, 47422, 16671.2, 21111.9, 61819, 124219, 294607, 116299
65529, 13256, 16425.4, 20910.7, 434, 16740, 21412.9, 9640, 11290, 14420, 6990
65535, 13256, 16425.4, 20910.7, 203042, 16553.7, 21025.7, 111269, 304977, 512455, 590713
65532, 13256, 16425.4, 20910.7, 29794, 16517.7, 20978, 176538, 41840, 455495, 186328
65532, 13256, 16425.4, 20910.7, 16650, 16349.9, 20855, 264298, 32699, 203948, 86859
65532, 13256, 16425.4, 20910.7, 16650, 16349.9, 20855, 265657, 32660, 218867, 86819
65534, 13256, 16425.4, 20910.7, 197564, 16629.1, 21001.3, 110849, 129968, 308607, 307127
65534, 13256, 16425.4, 20910.7, 131331, 16661.7, 21053.2, 91579, 232837, 584124, 844551
65535, 13256, 16425.4, 20910.7, 81094, 16647.5, 20996, 81029, 215567, 408406, 164188
65529, 13256, 16425.4, 20910.7, 3806, 8989.5, 8992.08, 7330, 66969, 58440, 24429
65533, 13256, 16425.4, 20910.7, 188809, 16531.8, 20963, 255407, 121959, 529754, 1170898
65534, 13256, 16425.4, 20910.7, 42800, 16567.8, 21074.9, 289877, 50949, 221348, 332896
65534, 13256, 16425.4, 20910.7, 108226, 16697.2, 21074, 319006, 84540, 259077, 432945
65529, 13256, 16425.4, 20910.7, 188, 16587.9, 21364.4, 6690, 7120, 10550, 15689
65534, 13256, 16425.4, 20910.7, 48446, 16667.3, 21014.5, 54319, 52390, 223657, 373117
65529, 13256, 16425.4, 20910.7, 168, 16403.2, 20545.7, 8880, 7560, 10080, 5050
65529, 13256, 16425.4, 20910.7, 378, 16156.3, 20589.2, 8060, 8370, 12620, 68059
65535, 13256, 16425.4, 20910.7, 499585, 16626.2, 21049.8, 308477, 276117, 448855, 184258
65534, 13256, 16425.4, 20910.7, 65746, 16751.1, 21147.2, 87159, 296777, 439595, 179188
65529, 13256, 16425.4, 20910.7, 255, 16769.4, 21213.7, 8220, 8040, 11360, 4770
65529, 13256, 16425.4, 20910.7, 249, 15939.6, 20803.3, 8550, 4440, 11120, 6630
65533, 13256, 16425.4, 20910.7, 31577, 16453.5, 20863.5, 68499, 124009, 302947, 255667
65534, 13256, 16425.4, 20910.7, 197564, 16629.1, 21001.3, 109749, 147688, 308867, 291667
65529, 13256, 16425.4, 20910.7, 459, 16771.6, 21221, 9710, 8780, 13980, 5210
65535, 13256, 16425.4, 20910.7, 1749744, 16655.9, 21067.6, 188138, 821031, 1058139, 441145
65529, 13256, 16425.4, 20910.7, 7747, 16634.6, 21170.1, 26080, 25459, 232408, 49439
65534, 13256, 16425.4, 20910.7, 73888, 16762, 21264.8, 59099, 155589, 322926, 505655
65534, 13256, 16425.4, 20910.7, 47373, 16777.6, 21172.9, 49429, 88349, 518725, 319286
65535, 13256, 16425.4, 20910.7, 1434753, 16577.3, 21012.1, 201358, 829681, 1086629, 458445
65535, 13256, 16425.4, 20910.7, 92535, 16663.5, 21065.6, 79579, 243947, 515645, 587904
65529, 13256, 16425.4, 20910.7, 4876, 17785.5, 20945.4, 32390, 111919, 85999, 95499
65531, 13256, 16425.4, 20910.7, 29803, 16721.3, 21094.2, 50770, 83409, 247907, 217498
65535, 13256, 16425.4, 20910.7, 133473, 16616.3, 21076.2, 104889, 222617, 545535, 839171
65535, 13256, 16425.4, 20910.7, 446607, 16652.2, 21123.9, 132679, 234958, 402116, 2748182
65529, 13256, 16425.4, 20910.7, 146, 17242.5, 21751.9, 8680, 4880, 10279, 40280
65534, 13256, 16425.4, 20910.7, 10443, 16808.9, 21161.9, 30629, 56840, 229787, 72909
65534, 13256, 16425.4, 20910.7, 73888, 16762, 21264.8, 59529, 185369, 310567, 504955
65529, 13256, 16425.4, 20910.7, 172, 16241.4, 20725.8, 9350, 3800, 10050, 5430
65529, 13256, 16425.4, 20910.7, 2245, 17115, 21249.5, 12409, 10500, 42240, 16300
65531, 13256, 16425.4, 20910.7, 103115, 16633.6, 21010.5, 85559, 185448, 369927, 693142
65529, 13256, 16425.4, 20910.7, 6982, 16532.3, 21109.1, 21140, 21609, 114459, 107699
65530, 13256, 16425.4, 20910.7, 19699, 16595.7, 21151.9, 35099, 69100, 224538, 135489
65533, 13256, 16425.4, 20910.7, 4186, 16717, 20868.1, 18130, 14520, 229607, 98149
65529, 13256, 16425.4, 20910.7, 4028, 27492.2, 27488.7, 12080, 63459, 65260, 39600
65529, 13256, 16425.4, 20910.7, 226, 17309.6, 21519.2, 7690, 4020, 10780, 5530
65529, 13256, 16425.4, 20910.7, 233, 16972.6, 20952.4, 8390, 3510, 11040, 6360
65529, 13256, 16425.4, 20910.7, 9934, 13142.5, 13167.3, 8520, 137669, 148258, 59459
65529, 13256, 16425.4, 20910.7, 278, 16119.2, 20537, 8520, 4480, 11390, 5560
