range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65518, 9862, 16767.2, 21066, 4, 20078, 25965.7, 5430, 1750, 4520, 6140
65518, 9862, 16767.2, 21066, 4, 21096.2, 24358.7, 5670, 1240, 3800, 5160
65526, 9862, 16767.2, 21066, 19410, 16988.2, 21386.8, 46659, 12270, 258647, 137909
65518, 9862, 16767.2, 21066, 4030, 17828.8, 22186.6, 9880, 6810, 82139, 41410
65518, 9862, 16767.2, 21066, 2, 17249, 24388.1, 3840, 1349, 2920, 3930
65518, 9862, 16767.2, 21066, 455, 17117, 20721.1, 7080, 6200, 23090, 5399
65518, 9862, 16767.2, 21066, 6, 17049.8, 24063.3, 21900, 1910, 17330, 23779
65518, 9862, 16767.2, 21066, 504, 3075.75, 3059.22, 2940, 10190, 8850, 4330
65518, 9862, 16767.2, 21066, 110, 15032.6, 3642.58, 7320, 3930, 3570, 2830
65518, 9862, 16767.2, 21066, 1166, 16741.4, 21458.7, 21209, 1640, 141709, 62579
65518, 9862, 16767.2, 21066, 390, 5602, 5589.31, 4410, 8380, 5980, 4030
65518, 9862, 16767.2, 21066, 24, 5946.25, 6293.57, 3810, 2570, 2620, 1830
65518, 9862, 16767.2, 21066, 165, 14001, 47.7755, 3420, 4070, 3630, 2770
65518, 9862, 16767.2, 21066, 3992, 16090.9, 20735.3, 46379, 4420, 173388, 78199
65518, 9862, 16767.2, 21066, 2575, 16502.5, 20976.4, 165248, 6480, 168009, 70700
65518, 9862, 16767.2, 21066, 3958, 16305.2, 20651.8, 9620, 5940, 93829, 41060
65518, 9862, 16767.2, 21066, 432, 18756.2, 23198.4, 22660, 2100, 42480, 19449
65518, 9862, 16767.2, 21066, 31681, 16660.7, 21263.9, 30490, 16759, 578894, 210038
65518, 9862, 16767.2, 21066, 2, 27339, 38653.3, 5220, 1390, 4430, 6060
65518, 9862, 16767.2, 21066, 469, 18753.8, 20406.8, 123879, 8120, 137598, 59160
65532, 9862, 16767.2, 21066, 39922, 16512.5, 20898.2, 31440, 17560, 292317, 152668
65518, 9862, 16767.2, 21066, 8, 16004.4, 21259.9, 5530, 1380, 4630, 2029
65535, 9862, 16767.2, 21066, 13055, 16234.4, 20680.4, 27220, 10080, 174558, 133598
65518, 9862, 16767.2, 21066, 4, 31057, 35890.1, 17290, 1080, 17360, 24169
65518, 9862, 16767.2, 21066, 2079, 17534.8, 20909.9, 26000, 5100, 157688, 20520
65518, 9862, 16767.2, 21066, 272, 17746.3, 22328.5, 35300, 6510, 20670, 10070
65518, 9862, 16767.2, 21066, 78, 32548.5, 32743.1, 35450, 1040, 36999, 17530
65518, 9862, 16767.2, 21066, 2, 17865.5, 25241.6, 4060, 1410, 3120, 4200
65518, 9862, 16767.2, 21066, 6, 19595, 21443.3, 4320, 1430, 3400, 4620
65518, 9862, 16767.2, 21066, 216, 9157.75, 9177.04, 3380, 5130, 5300, 2940
65518, 9862, 16767.2, 21066, 2, 27995, 39576.8, 5240, 1320, 4470, 6180
65518, 9862, 16767.2, 21066, 17408, 16531.5, 21080.7, 28290, 9500, 375466, 170028
65533, 9862, 16767.2, 21066, 13295, 17008.3, 21055.2, 29159, 12070, 164169, 88049
65518, 9862, 16767.2, 21066, 8, 20409.2, 21797, 4700, 1410, 3620, 2310
65518, 9862, 16767.2, 21066, 4199, 16372.3, 21297.6, 21289, 6970, 175539, 34119
65518, 9862, 16767.2, 21066, 6, 25590.2, 28735.4, 17120, 1970, 17329, 23770
65518, 9862, 16767.2, 21066, 2, 15820, 22347.4, 4370, 1360, 2850, 3769
65518, 9862, 16767.2, 21066, 2, 23846.5, 33719.8, 4830, 1380, 4040, 5500
65518, 9862, 16767.2, 21066, 2, 4783.5, 6743.68, 2760, 1210, 1740, 2220
65518, 9862, 16767.2, 21066, 20, 15878.2, 16270.2, 3960, 1600, 3170, 2400
65518, 9862, 16767.2, 21066, 120, 16845.7, 20268.9, 17540, 1520, 19370, 3540
65518, 9862, 16767.2, 21066, 846, 187, 189.892, 2040, 13440, 13180, 6470
65518, 10, 20967, 22080.1, 9862, 16767.2, 21066, 2660, 3640, 4040, 2680
