range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,fastest_algo
57656,2,28842,40768.9,2,5145,6564.78,38,23,18,non_skewed
57656,2,28842,40768.9,16,16887.1,19752.2,51,68,43,non_skewed
57656,2,28842,40768.9,2,17820,24494.2,42,23,19,non_skewed
65107,2,28842,40768.9,113,17563.8,21861.6,56,81,41,non_skewed
63930,2,28842,40768.9,152,16258.9,20920,47,331,32,non_skewed
57656,2,28842,40768.9,12,17649.3,20283.5,42,54,31,non_skewed
61000,2,28842,40768.9,2,30554,43076.9,46,25,25,skewed_2
60869,2,28842,40768.9,12,16798.9,22341.3,42,66,32,non_skewed
65157,2,28842,40768.9,24,21626.3,25527.8,35,83,45,skewed_1
57656,2,28842,40768.9,2,27904.5,38755.8,33,24,20,non_skewed
57656,2,28842,40768.9,2,10994,15482.8,23,24,19,non_skewed
57656,2,28842,40768.9,6,3367.17,3711.98,28,27,20,non_skewed
64912,2,28842,40768.9,4,26436.5,31950.3,36,45,19,non_skewed
65320,2,28842,40768.9,151,16865.7,21283.8,58,60,28,non_skewed
57656,2,28842,40768.9,4,4330,7037.48,43,29,24,non_skewed
57656,2,28842,40768.9,6,14623.3,16967.9,40,28,21,non_skewed
62083,2,28842,40768.9,24,17164.2,19884.5,52,67,35,non_skewed
57656,2,28842,40768.9,2,20307.5,28136.5,25,24,19,non_skewed
57656,2,28842,40768.9,2,27614.5,38717.6,25,25,19,non_skewed
57656,2,28842,40768.9,2,2555.5,3544.73,23,25,18,non_skewed
60115,2,28842,40768.9,6,29781,32094.5,38,65,27,non_skewed
65500,2,28842,40768.9,5506,16259.4,20751.4,104,8222,33,non_skewed
61909,2,28842,40768.9,16,28133.2,29567.1,40,64,25,non_skewed
57656,2,28842,40768.9,2,9807.5,13287.2,28,24,19,non_skewed
57656,2,28842,40768.9,20,14666.3,17260.4,51,53,34,non_skewed
57656,2,28842,40768.9,2,10345.5,14380.4,40,24,18,non_skewed
64601,2,28842,40768.9,78,17313.6,21855.6,52,164,25,non_skewed
57656,2,28842,40768.9,6,2772.33,2488.12,41,28,20,non_skewed
57656,2,28842,40768.9,2,6064,7973.34,23,24,18,non_skewed
65391,2,28842,40768.9,152,16850.7,21358.8,54,311,45,non_skewed
57656,2,28842,40768.9,8,7335.62,8131.64,40,41,26,non_skewed
57656,2,28842,40768.9,2,5922.5,8312.04,24,24,19,non_skewed
65036,2,28842,40768.9,14,25785.1,28563.6,37,67,25,non_skewed
65134,2,28842,40768.9,152,16868,21350,50,275,43,non_skewed
57656,2,28842,40768.9,4,19747.2,22265.3,36,37,24,non_skewed
57656,2,28842,40768.9,2,3683.5,4562.96,35,25,18,non_skewed
59434,2,28842,40768.9,6,20846.8,29957.4,38,59,20,non_skewed
59695,2,28842,40768.9,6,20742.8,24431.1,33,53,26,non_skewed
65371,2,28842,40768.9,176,16993.8,21924.9,65,314,53,non_skewed
57656,2,28842,40768.9,4,14505.8,20898,36,38,30,non_skewed
64891,2,28842,40768.9,152,16458,21105.8,63,290,35,non_skewed
57656,2,28842,40768.9,4,26346.8,29842.9,29,39,20,non_skewed
65527,2,28842,40768.9,1237,16806.5,21365.3,88,78,30,non_skewed
57656,2,28842,40768.9,2,3830.5,5354.92,28,24,18,non_skewed
64034,2,28842,40768.9,20,29101.1,30111.2,46,71,25,non_skewed
57662,2,28842,40768.9,2,9782.5,13823.2,39,25,32,skewed_2
60683,2,28842,40768.9,2,30407.5,42835.8,34,23,25,skewed_2
63481,2,28842,40768.9,2,31997.5,44544.2,31,24,18,non_skewed
59731,2,28842,40768.9,2,29905.5,42199.4,32,23,18,non_skewed
61129,2,28842,40768.9,40,15270,20902.8,49,104,29,non_skewed
57656,2,28842,40768.9,2,19492,27500.8,34,24,19,non_skewed
57656,2,28842,40768.9,2,18205,25146.1,25,24,18,non_skewed
57656,2,28842,40768.9,2,19588,27639.4,26,25,18,non_skewed
57663,2,28842,40768.9,8,12914.9,18821.9,33,63,34,skewed_1
57656,2,28842,40768.9,2,5549,7133.29,27,25,18,non_skewed
62782,2,28842,40768.9,6,17817.3,26549.4,47,53,32,non_skewed
57656,2,28842,40768.9,2,8853,12329.1,29,24,19,non_skewed
62463,2,28842,40768.9,2,31323.5,44057.7,33,22,18,non_skewed
57656,2,28842,40768.9,2,7066,9281.48,25,24,18,non_skewed
59056,2,28842,40768.9,2,29787,41412.4,32,25,19,non_skewed
63297,2,28842,40768.9,50,15844.4,22184.6,53,136,61,skewed_1
59916,2,28842,40768.9,32,20159.9,24427.6,47,95,41,non_skewed
64767,2,28842,40768.9,152,16707.6,21274,47,264,31,non_skewed
65145,2,28842,40768.9,152,16926.5,21472.9,58,255,32,non_skewed
