range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
65518,9862,16767.2,21066,165,14001,47.7755,86,150,101,96,skewed_1
65518,9862,16767.2,21066,3992,16090.9,20735.3,1495,343,3275,1839,skewed_2
65518,9862,16767.2,21066,2575,16502.5,20976.4,4389,495,2872,1645,skewed_2
65518,9862,16767.2,21066,3958,16305.2,20651.8,451,393,1921,1089,skewed_2
65518,9862,16767.2,21066,432,18756.2,23198.4,648,188,856,498,skewed_2
65518,9862,16767.2,21066,31681,16660.7,21263.9,1537,921,10512,4999,skewed_2
65518,9862,16767.2,21066,2,27339,38653.3,174,81,109,233,skewed_2
65518,9862,16767.2,21066,469,18753.8,20406.8,4522,562,2558,1368,skewed_2
65532,9862,16767.2,21066,39922,16512.5,20898.2,1574,973,6109,3611,skewed_2
65518,9862,16767.2,21066,8,16004.4,21259.9,177,85,115,58,vector
65535,9862,16767.2,21066,13055,16234.4,20680.4,1078,670,3363,3364,skewed_2
65518,9862,16767.2,21066,4,31057,35890.1,602,40,325,1013,skewed_2
65518,9862,16767.2,21066,2079,17534.8,20909.9,886,382,3191,598,skewed_2
65518,9862,16767.2,21066,272,17746.3,22328.5,707,330,455,300,vector
65518,9862,16767.2,21066,78,32548.5,32743.1,1219,38,645,412,skewed_2
65518,9862,16767.2,21066,2,17865.5,25241.6,128,86,83,161,non_skewed
65518,9862,16767.2,21066,6,19595,21443.3,138,65,82,186,skewed_2
65518,9862,16767.2,21066,216,9157.75,9177.04,87,158,115,100,skewed_1
65518,9862,16767.2,21066,2,27995,39576.8,160,60,97,245,skewed_2
65518,9862,16767.2,21066,17408,16531.5,21080.7,1102,625,6758,3947,skewed_2
65533,9862,16767.2,21066,13295,17008.3,21055.2,1243,699,3294,2381,skewed_2
65518,9862,16767.2,21066,8,20409.2,21797,136,81,87,68,vector
65518,9862,16767.2,21066,4199,16372.3,21297.6,936,489,3316,910,skewed_2
65518,9862,16767.2,21066,6,25590.2,28735.4,592,119,331,996,skewed_2
65518,9862,16767.2,21066,2,15820,22347.4,110,102,81,118,non_skewed
65518,9862,16767.2,21066,2,23846.5,33719.8,136,93,87,183,non_skewed
65518,9862,16767.2,21066,2,4783.5,6743.68,60,72,48,64,non_skewed
65518,9862,16767.2,21066,20,15878.2,16270.2,118,107,92,111,non_skewed
65518,9862,16767.2,21066,120,16845.7,20268.9,615,88,393,138,skewed_2
65518,9862,16767.2,21066,846,187,189.892,75,419,226,177,skewed_1
65518,10,20967,22080.1,9862,16767.2,21066,99,159,109,116,skewed_1
41896,10,20967,22080.1,10,20967,22080.1,63,41,71,58,skewed_2
42191,10,20967,22080.1,4,21096.2,24358.7,63,49,46,43,vector
60186,10,20967,22080.1,48,22803.3,22462.6,80,56,58,46,vector
64710,10,20967,22080.1,3131,17175.5,21213.4,68,77,90,63,vector
41901,10,20967,22080.1,1708,18065.8,18056.9,65,821,431,309,skewed_1
41899,10,20967,22080.1,2,15506,21904.8,62,35,34,42,non_skewed
64221,10,20967,22080.1,1082,18420.3,22151,92,39,47,66,skewed_2
65486,10,20967,22080.1,13931,17259.1,21557.8,85,131,99,85,skewed_1
41896,10,20967,22080.1,158,11604.5,11621.3,72,123,97,82,skewed_1
42150,10,20967,22080.1,6,21094.5,23086,48,59,40,63,non_skewed
65510,10,20967,22080.1,15759,17704.1,21846.8,124,242,154,127,skewed_1
64683,10,20967,22080.1,2828,17470.5,22168.6,61,55,55,63,skewed_2
65535,10,20967,22080.1,30147,16968.7,21371.5,58,253,157,131,skewed_1
