range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
65534,197564,16629.1,21001.3,147,16844.6,20629.8,2401,164,1895,1575,skewed_2
65534,197564,16629.1,21001.3,50,16025.7,20311,2984,451,1823,1068,skewed_2
65534,197564,16629.1,21001.3,47373,16777.6,21172.9,13641,20046,88251,8823,vector
65535,197564,16629.1,21001.3,1434753,16577.3,21012.1,122772,80792,432813,248240,skewed_2
65534,197564,16629.1,21001.3,12983,16316.4,20978.8,6624,13365,11735,3209,vector
65534,197564,16629.1,21001.3,3622,17637.5,22304.5,4226,3883,4663,5695,skewed_2
65535,197564,16629.1,21001.3,136093,16558.2,21040.3,35485,51427,269048,27505,vector
65534,197564,16629.1,21001.3,6292,12727.8,12736,2397,6768,5993,1747,vector
65534,197564,16629.1,21001.3,258,16479.7,21051.5,3513,901,2166,1105,skewed_2
65534,197564,16629.1,21001.3,46454,16625.6,21090.5,13355,40254,33670,12528,vector
65534,197564,16629.1,21001.3,36587,16791.1,21268,27809,15590,78234,7081,vector
65534,197564,16629.1,21001.3,15771,16485.1,20844.7,8757,19769,15023,3807,vector
65534,197564,16629.1,21001.3,4,18412.8,29049.3,3401,60,1663,3281,skewed_2
65534,197564,16629.1,21001.3,428,17726.3,21761.8,3565,1211,2804,1289,skewed_2
65534,197564,16629.1,21001.3,278,16457.8,20762.6,3210,959,2064,1115,skewed_2
65534,197564,16629.1,21001.3,51320,16586.9,21018.5,17052,46183,39687,13407,vector
65535,197564,16629.1,21001.3,203042,16553.7,21025.7,47269,73493,231705,57840,skewed_1
65534,197564,16629.1,21001.3,103115,16633.6,21010.5,30114,81612,75421,18554,vector
65534,197564,16629.1,21001.3,108817,16634.7,20972.8,32497,88268,79920,19318,vector
65535,197564,16629.1,21001.3,81094,16647.5,20996,24779,37321,117314,35583,skewed_1
65535,197564,16629.1,21001.3,50107,16606.1,21016.9,16932,45096,37986,9556,vector
65534,197564,16629.1,21001.3,167,16219,20646,3128,826,1980,3322,skewed_2
65534,197564,16629.1,21001.3,687,16702,21160.9,3702,771,2252,849,skewed_2
65534,197564,16629.1,21001.3,21962,16723.7,21049.4,10029,15357,34071,8543,vector
65535,197564,16629.1,21001.3,186314,16654.8,21062.5,45819,51637,218211,34914,vector
65534,197564,16629.1,21001.3,20182,16794.2,21204.8,9392,14405,19022,4571,vector
65535,197564,16629.1,21001.3,188809,16531.8,20963,44387,132854,124496,31419,vector
65534,197564,16629.1,21001.3,1625,14074.9,19068.3,2377,3076,3829,1732,vector
65535,197564,16629.1,21001.3,186314,16654.8,21062.5,45591,51355,218438,34995,vector
65534,197564,16629.1,21001.3,423,16506.3,21047.6,3776,810,2137,1078,skewed_2
65534,197564,16629.1,21001.3,73,16169.6,20417.9,3458,365,1816,2113,skewed_2
65534,197564,16629.1,21001.3,65746,16751.1,21147.2,22209,36884,97281,16214,vector
65534,197564,16629.1,21001.3,9934,13028,13054.1,2080,10129,8854,2570,skewed_1
65534,197564,16629.1,21001.3,54,19898.8,22299.8,3439,290,1861,1392,skewed_2
65535,197564,16629.1,21001.3,150357,16647.3,21041.9,41117,65456,188551,29657,vector
65535,197564,16629.1,21001.3,46372,16640.6,21115.4,16315,21546,64435,12772,vector
65535,197564,16629.1,21001.3,348832,16618.9,21077.4,59486,88874,348726,60629,skewed_1
65534,197564,16629.1,21001.3,3622,17637.5,22304.5,4155,4365,4738,5654,skewed_1
65535,197564,16629.1,21001.3,530445,16886.4,21253.8,31919,30016,375900,82976,skewed_2
65534,13256,16425.4,20910.7,197564,16629.1,21001.3,11171,7130,12566,7336,skewed_2
65529,13256,16425.4,20910.7,13256,16425.4,20910.7,15172,15142,12146,2703,vector
65529,13256,16425.4,20910.7,251,16618.1,21151.1,523,251,455,209,vector
65529,13256,16425.4,20910.7,423,16452.1,21014.8,484,433,522,181,vector
65529,13256,16425.4,20910.7,5310,17053.8,21115.9,1928,2505,5768,1780,vector
65529,13256,16425.4,20910.7,1561,17449,21502.8,942,1000,1413,358,vector
65529,13256,16425.4,20910.7,7747,16634.6,21170.1,2585,2623,8184,1485,vector
65529,13256,16425.4,20910.7,3428,16929.1,21398.3,1735,1795,4697,2086,skewed_1
65529,13256,16425.4,20910.7,2139,15643.7,20574.5,748,2177,1675,443,vector
65535,13256,16425.4,20910.7,255502,16705,21163.2,10758,7579,9533,6341,vector
65529,13256,16425.4,20910.7,389,16721.8,21048.1,506,518,456,154,vector
65529,13256,16425.4,20910.7,1665,16242.8,20699.8,1214,981,1536,367,vector
65531,13256,16425.4,20910.7,47422,16671.2,21111.9,6262,6498,8716,3021,vector
65529,13256,16425.4,20910.7,434,16740,21412.9,524,865,645,232,vector
65535,13256,16425.4,20910.7,203042,16553.7,21025.7,11149,14248,15357,17222,skewed_1
65532,13256,16425.4,20910.7,29794,16517.7,20978,8097,3969,14273,4719,skewed_2
65532,13256,16425.4,20910.7,16650,16349.9,20855,9679,3261,5897,2186,vector
65532,13256,16425.4,20910.7,16650,16349.9,20855,8481,2135,4977,2015,vector
65534,13256,16425.4,20910.7,197564,16629.1,21001.3,11351,7426,10160,10124,skewed_2
65534,13256,16425.4,20910.7,131331,16661.7,21053.2,8808,11114,21203,22517,skewed_1
65535,13256,16425.4,20910.7,81094,16647.5,20996,8072,11404,12627,4226,vector
65529,13256,16425.4,20910.7,3806,8989.5,8992.08,795,1992,1945,699,vector
65533,13256,16425.4,20910.7,188809,16531.8,20963,14895,6960,20952,32021,skewed_2
65534,13256,16425.4,20910.7,42800,16567.8,21074.9,11511,4613,6650,8429,skewed_2
65534,13256,16425.4,20910.7,108226,16697.2,21074,14294,5894,8009,11163,skewed_2
65529,13256,16425.4,20910.7,188,16587.9,21364.4,478,590,385,432,non_skewed
65534,13256,16425.4,20910.7,48446,16667.3,21014.5,5803,4646,6731,10092,skewed_2
65529,13256,16425.4,20910.7,168,16403.2,20545.7,463,558,350,155,vector
65529,13256,16425.4,20910.7,378,16156.3,20589.2,426,605,520,1642,skewed_1
65535,13256,16425.4,20910.7,499585,16626.2,21049.8,20072,11536,14215,4662,vector
65534,13256,16425.4,20910.7,65746,16751.1,21147.2,6723,11812,13654,4605,vector
65529,13256,16425.4,20910.7,255,16769.4,21213.7,505,723,444,145,vector
65529,13256,16425.4,20910.7,249,15939.6,20803.3,431,428,398,201,vector
65533,13256,16425.4,20910.7,31577,16453.5,20863.5,5242,7377,9440,7012,skewed_1
65534,13256,16425.4,20910.7,197564,16629.1,21001.3,10974,7004,9689,8554,skewed_2
65529,13256,16425.4,20910.7,459,16771.6,21221,588,636,631,161,vector
65535,13256,16425.4,20910.7,1749744,16655.9,21067.6,18818,30108,32504,10623,vector
65529,13256,16425.4,20910.7,7747,16634.6,21170.1,2809,2667,8330,1441,vector
65534,13256,16425.4,20910.7,73888,16762,21264.8,6129,7128,9422,13439,skewed_1
65534,13256,16425.4,20910.7,47373,16777.6,21172.9,5077,6234,18669,9007,skewed_1
65535,13256,16425.4,20910.7,1434753,16577.3,21012.1,20273,31649,33426,10953,vector
65535,13256,16425.4,20910.7,92535,16663.5,21065.6,8001,11309,16658,15749,skewed_1
65529,13256,16425.4,20910.7,4876,17785.5,20945.4,3225,4707,4216,2592,vector
65531,13256,16425.4,20910.7,29803,16721.3,21094.2,4964,5578,7646,8596,skewed_1
65535,13256,16425.4,20910.7,133473,16616.3,21076.2,9223,10803,20552,22144,skewed_1
65535,13256,16425.4,20910.7,446607,16652.2,21123.9,13208,10177,12607,73450,skewed_2
65529,13256,16425.4,20910.7,146,17242.5,21751.9,367,382,396,1056,skewed_1
65534,13256,16425.4,20910.7,10443,16808.9,21161.9,3240,3899,6184,2399,vector
65534,13256,16425.4,20910.7,73888,16762,21264.8,6224,7729,9523,13930,skewed_1
65529,13256,16425.4,20910.7,172,16241.4,20725.8,458,400,309,156,vector
65529,13256,16425.4,20910.7,2245,17115,21249.5,1200,984,1752,599,vector
65531,13256,16425.4,20910.7,103115,16633.6,21010.5,8305,10060,11519,19787,skewed_1
